Comment_ID,Task_ID,Employee_ID,Comment_Text,Comment_Type,Visibility,Created_DateTime,Edited,Sentiment,Likes
CMT000070,TASK-15936,EMP169,Customer confirmed the fix.,Customer Reply,Internal,2024-11-03 11:20:35,Yes,Positive,2
CMT000071,TASK-19232,EMP087,Database migration completed.,Update,Public,2025-05-07 19:41:20,Yes,Neutral,6
CMT000072,TASK-19039,EMP107,Changes deployed to the development environment.,Testing,Public,2026-04-05 00:09:30,Yes,Neutral,6
CMT000073,TASK-15574,EMP467,Database migration completed.,Deployment,Public,2026-04-18 02:51:54,Yes,Negative,3
CMT000074,TASK-16570,EMP087,Monitoring the application after deployment.,Testing,Internal,2026-02-16 11:23:35,No,Neutral,1
CMT000075,TASK-18789,EMP437,Performance optimization implemented.,Customer Reply,Public,2024-12-05 02:29:07,Yes,Negative,0
CMT000076,TASK-19096,EMP371,Waiting for QA validation.,Update,Internal,2026-03-25 08:25:15,No,Positive,7
CMT000077,TASK-14472,EMP461,Database migration completed.,Update,Public,2025-04-09 12:36:41,Yes,Negative,7
CMT000078,TASK-16559,EMP435,Monitoring the application after deployment.,Investigation,Public,2025-12-15 04:05:36,Yes,Neutral,9
CMT000079,TASK-16444,EMP030,Additional logs have been attached.,Deployment,Internal,2024-10-17 20:30:53,Yes,Negative,6
CMT000080,TASK-13353,EMP020,Root cause identified and under analysis.,Customer Reply,Internal,2026-06-19 06:59:16,No,Negative,10
CMT000081,TASK-16441,EMP206,Performance optimization implemented.,Investigation,Public,2025-09-23 14:50:14,Yes,Neutral,7
CMT000082,TASK-19615,EMP322,API response time has improved.,Update,Internal,2025-12-19 16:50:43,Yes,Negative,7
CMT000083,TASK-12903,EMP123,Code review completed successfully.,Update,Public,2024-12-11 10:15:46,Yes,Neutral,7
CMT000084,TASK-10587,EMP213,Root cause identified and under analysis.,Investigation,Public,2025-10-03 15:43:44,No,Negative,2
CMT000085,TASK-12420,EMP080,Investigating the issue reported by the customer.,Investigation,Internal,2025-09-07 02:10:43,No,Positive,7
CMT000086,TASK-13181,EMP342,Security validation completed.,Update,Internal,2025-09-14 15:38:15,Yes,Neutral,1
CMT000087,TASK-11059,EMP369,Monitoring the application after deployment.,Update,Public,2025-03-29 06:32:12,Yes,Positive,9
CMT000088,TASK-10928,EMP375,Investigating the issue reported by the customer.,Deployment,Internal,2025-12-23 08:08:22,No,Negative,5
CMT000089,TASK-12338,EMP230,Monitoring the application after deployment.,Customer Reply,Internal,2025-03-16 02:40:00,Yes,Positive,9
CMT000090,TASK-18575,EMP481,Task blocked due to external dependency.,Customer Reply,Internal,2025-02-10 12:03:44,No,Negative,2
CMT000091,TASK-16547,EMP317,Database migration completed.,Investigation,Public,2024-11-06 22:12:34,No,Neutral,0
CMT000092,TASK-11751,EMP392,API response time has improved.,Deployment,Internal,2025-11-21 10:40:22,Yes,Neutral,0
CMT000093,TASK-17603,EMP491,Waiting for QA validation.,Testing,Public,2024-09-29 18:39:23,Yes,Negative,9
CMT000094,TASK-12094,EMP217,Production deployment scheduled.,Investigation,Public,2024-12-21 12:55:45,Yes,Negative,6
CMT000095,TASK-14442,EMP052,Changes deployed to the development environment.,Update,Public,2024-08-29 06:45:47,No,Positive,1
CMT000096,TASK-11239,EMP057,Customer confirmed the fix.,Update,Internal,2025-10-22 20:34:04,No,Negative,7
CMT000097,TASK-19427,EMP366,Investigating the issue reported by the customer.,Deployment,Internal,2025-08-20 00:46:20,No,Negative,5
CMT000098,TASK-11302,EMP455,Database migration completed.,Deployment,Internal,2025-08-10 15:42:47,Yes,Neutral,2
CMT000099,TASK-11944,EMP294,Changes deployed to the development environment.,Update,Public,2024-08-07 03:16:11,No,Negative,7
CMT000100,TASK-14673,EMP382,Database migration completed.,Investigation,Public,2025-05-26 21:15:23,Yes,Positive,9
CMT000101,TASK-18786,EMP197,Deployment completed in UAT.,Update,Internal,2025-03-17 08:54:41,No,Neutral,3
CMT000102,TASK-17740,EMP005,Root cause identified and under analysis.,Deployment,Internal,2024-09-15 11:04:10,No,Negative,4
CMT000103,TASK-13443,EMP329,Code review completed successfully.,Testing,Public,2024-07-11 22:42:47,Yes,Neutral,7
CMT000104,TASK-10340,EMP333,Testing completed successfully.,Testing,Public,2026-07-08 17:30:36,Yes,Neutral,6
CMT000105,TASK-10015,EMP467,Database migration completed.,Investigation,Public,2024-10-06 12:55:42,Yes,Neutral,2
CMT000106,TASK-12728,EMP385,Customer confirmed the fix.,Customer Reply,Public,2025-02-15 00:22:22,Yes,Neutral,8
CMT000107,TASK-17865,EMP106,Investigating the issue reported by the customer.,Update,Public,2025-01-22 05:34:03,Yes,Positive,3
CMT000108,TASK-13601,EMP145,Customer confirmed the fix.,Testing,Public,2025-09-19 01:25:17,No,Positive,0
CMT000109,TASK-13121,EMP387,Unable to reproduce the reported issue.,Update,Internal,2024-09-04 07:58:58,Yes,Positive,6
CMT000110,TASK-16452,EMP227,Deployment completed in UAT.,Review,Public,2025-06-18 00:27:35,Yes,Negative,6
CMT000111,TASK-14645,EMP333,Issue reproduced successfully.,Deployment,Internal,2025-04-03 15:20:02,No,Positive,1
CMT000112,TASK-11093,EMP106,Code review completed successfully.,Review,Internal,2026-03-11 08:40:39,Yes,Negative,1
CMT000113,TASK-15673,EMP205,Issue reproduced successfully.,Investigation,Public,2024-07-13 22:46:29,Yes,Positive,10
CMT000114,TASK-15368,EMP494,Database migration completed.,Deployment,Public,2025-03-11 07:17:23,No,Neutral,1
CMT000115,TASK-16007,EMP291,Database migration completed.,Testing,Internal,2025-07-07 12:00:03,No,Neutral,6
CMT000116,TASK-17858,EMP280,Fix developed and submitted for code review.,Testing,Internal,2026-06-18 04:24:38,Yes,Neutral,10
CMT000117,TASK-10213,EMP321,Production deployment scheduled.,Review,Public,2025-07-22 04:51:55,No,Negative,8
CMT000118,TASK-16343,EMP484,Testing completed successfully.,Update,Internal,2025-06-21 04:24:11,No,Negative,8
CMT000119,TASK-11701,EMP311,Waiting for QA validation.,Update,Public,2025-11-10 19:57:10,No,Neutral,10
CMT000120,TASK-18520,EMP444,Waiting for QA validation.,Deployment,Internal,2025-02-11 09:38:38,No,Neutral,7
CMT000121,TASK-10118,EMP188,Waiting for QA validation.,Review,Public,2024-08-01 23:00:40,No,Positive,5
CMT000122,TASK-14708,EMP371,Production deployment scheduled.,Review,Internal,2025-07-11 00:27:37,Yes,Neutral,1
CMT000123,TASK-12408,EMP496,Issue reproduced successfully.,Customer Reply,Public,2026-05-05 19:17:21,No,Negative,5
CMT000124,TASK-10488,EMP245,Fix developed and submitted for code review.,Investigation,Public,2025-12-31 03:22:20,No,Neutral,5
CMT000125,TASK-16805,EMP051,Investigating the issue reported by the customer.,Review,Internal,2025-01-14 11:13:03,Yes,Positive,0
CMT000126,TASK-10267,EMP055,Database migration completed.,Investigation,Internal,2025-11-21 10:57:36,Yes,Neutral,2
CMT000127,TASK-15426,EMP055,Dependency updated successfully.,Deployment,Internal,2026-03-22 00:54:25,Yes,Neutral,9
CMT000128,TASK-16534,EMP426,Root cause identified and under analysis.,Deployment,Public,2025-01-14 15:17:45,Yes,Negative,9
CMT000129,TASK-15101,EMP131,Waiting for QA validation.,Update,Public,2025-09-12 07:18:26,Yes,Neutral,0
CMT000130,TASK-14828,EMP375,API response time has improved.,Investigation,Public,2025-03-26 12:09:17,No,Positive,9
CMT000131,TASK-14256,EMP447,API response time has improved.,Testing,Public,2025-01-04 04:46:55,No,Neutral,6
CMT000132,TASK-12509,EMP166,Dependency updated successfully.,Update,Internal,2025-02-04 16:18:57,No,Positive,6
CMT000133,TASK-18811,EMP439,Deployment completed in UAT.,Review,Public,2024-12-05 16:19:11,Yes,Neutral,9
CMT000134,TASK-10825,EMP390,Security validation completed.,Deployment,Internal,2025-03-23 00:57:39,No,Neutral,4
CMT000135,TASK-11250,EMP317,Database migration completed.,Update,Internal,2024-08-06 14:38:19,No,Negative,3
CMT000136,TASK-13432,EMP038,Dependency updated successfully.,Deployment,Internal,2025-04-26 05:42:10,Yes,Neutral,7
CMT000137,TASK-13434,EMP002,Investigating the issue reported by the customer.,Update,Internal,2024-09-11 03:32:49,Yes,Negative,2
CMT000138,TASK-14834,EMP438,Deployment completed in UAT.,Update,Public,2026-01-14 14:01:24,No,Positive,4
CMT000139,TASK-16374,EMP120,Root cause identified and under analysis.,Update,Public,2025-09-20 22:07:42,No,Negative,7
CMT000140,TASK-18545,EMP095,Changes deployed to the development environment.,Investigation,Internal,2024-07-12 18:22:11,Yes,Negative,5
CMT000141,TASK-18937,EMP270,Investigating the issue reported by the customer.,Update,Public,2026-01-26 01:21:21,Yes,Neutral,5
CMT000142,TASK-16286,EMP183,Issue reproduced successfully.,Investigation,Public,2024-11-25 21:04:18,Yes,Neutral,5
CMT000143,TASK-11259,EMP196,Testing completed successfully.,Update,Internal,2025-06-25 22:34:12,Yes,Negative,9
CMT000144,TASK-17666,EMP490,Security validation completed.,Customer Reply,Public,2025-08-18 22:02:47,Yes,Positive,0
CMT000145,TASK-11183,EMP348,Unable to reproduce the reported issue.,Deployment,Internal,2025-03-09 22:12:57,No,Negative,9
CMT000146,TASK-15663,EMP129,Security validation completed.,Testing,Internal,2025-02-06 04:48:39,Yes,Neutral,8
CMT000147,TASK-14757,EMP090,Deployment completed in UAT.,Deployment,Public,2025-05-23 12:05:47,No,Neutral,7
CMT000148,TASK-18736,EMP208,Testing completed successfully.,Investigation,Internal,2024-10-17 20:10:50,Yes,Neutral,3
CMT000149,TASK-18478,EMP435,Database migration completed.,Investigation,Internal,2026-04-01 14:10:11,Yes,Neutral,2
CMT000150,TASK-15554,EMP410,Code review completed successfully.,Customer Reply,Public,2024-09-29 12:56:48,No,Negative,9
CMT000151,TASK-15967,EMP001,Waiting for QA validation.,Update,Public,2026-03-03 07:50:26,No,Neutral,2
CMT000152,TASK-14117,EMP264,Root cause identified and under analysis.,Update,Public,2024-12-16 05:15:24,Yes,Neutral,2
CMT000153,TASK-11813,EMP030,Code review completed successfully.,Testing,Public,2025-02-16 08:48:33,Yes,Negative,2
CMT000154,TASK-16754,EMP081,Database migration completed.,Testing,Public,2025-04-19 10:48:42,Yes,Negative,8
CMT000155,TASK-18399,EMP399,Investigating the issue reported by the customer.,Update,Public,2024-08-03 03:40:27,Yes,Negative,7
CMT000156,TASK-13962,EMP387,API response time has improved.,Review,Public,2024-10-11 11:23:57,Yes,Negative,7
CMT000157,TASK-10990,EMP419,Database migration completed.,Customer Reply,Public,2025-03-30 11:53:56,Yes,Negative,5
CMT000158,TASK-15269,EMP332,API response time has improved.,Deployment,Internal,2025-05-28 13:12:55,No,Positive,5
CMT000159,TASK-13738,EMP334,Unable to reproduce the reported issue.,Investigation,Public,2026-04-10 23:56:15,No,Positive,5
CMT000160,TASK-18722,EMP175,API response time has improved.,Customer Reply,Internal,2026-07-02 20:11:48,No,Neutral,5
CMT000161,TASK-16413,EMP290,Code review completed successfully.,Testing,Public,2024-08-10 14:30:34,Yes,Positive,1
CMT000162,TASK-18582,EMP283,Security validation completed.,Update,Internal,2025-08-04 14:50:49,Yes,Positive,10
CMT000163,TASK-17486,EMP045,API response time has improved.,Deployment,Public,2024-10-12 06:22:15,Yes,Positive,8
CMT000164,TASK-13541,EMP175,Security validation completed.,Customer Reply,Internal,2026-02-16 20:07:22,No,Negative,5
CMT000165,TASK-12001,EMP415,Monitoring the application after deployment.,Review,Internal,2025-03-02 12:13:55,Yes,Negative,8
CMT000166,TASK-16576,EMP110,Changes deployed to the development environment.,Investigation,Internal,2026-04-23 00:25:02,No,Negative,9
CMT000167,TASK-19207,EMP265,Security validation completed.,Investigation,Public,2025-08-12 04:18:22,No,Neutral,9
CMT000168,TASK-11807,EMP184,Code review completed successfully.,Review,Internal,2024-10-09 13:09:07,Yes,Neutral,3
CMT000169,TASK-10469,EMP346,Task blocked due to external dependency.,Update,Public,2024-07-13 09:09:03,Yes,Positive,8
CMT000170,TASK-18708,EMP332,Investigating the issue reported by the customer.,Review,Internal,2025-01-07 00:30:54,Yes,Positive,2
CMT000171,TASK-10723,EMP420,API response time has improved.,Investigation,Public,2026-04-04 20:53:10,Yes,Negative,1
CMT000172,TASK-16368,EMP174,Task blocked due to external dependency.,Investigation,Public,2024-10-27 03:54:00,No,Positive,8
CMT000173,TASK-10793,EMP153,Customer confirmed the fix.,Customer Reply,Internal,2025-06-24 14:49:40,No,Positive,9
CMT000174,TASK-10795,EMP067,API response time has improved.,Update,Internal,2025-04-07 06:11:53,Yes,Neutral,3
CMT000175,TASK-16077,EMP347,Security validation completed.,Deployment,Public,2025-03-18 18:27:43,Yes,Neutral,10
CMT000176,TASK-18249,EMP411,Changes deployed to the development environment.,Customer Reply,Public,2026-02-15 11:04:39,Yes,Neutral,10
CMT000177,TASK-11787,EMP476,API response time has improved.,Customer Reply,Internal,2024-12-12 22:01:16,No,Negative,0
CMT000178,TASK-17642,EMP493,Task blocked due to external dependency.,Deployment,Public,2025-12-16 12:45:51,Yes,Positive,4
CMT000179,TASK-10841,EMP247,Security validation completed.,Deployment,Public,2025-11-08 16:51:25,Yes,Neutral,8
CMT000180,TASK-10715,EMP146,API response time has improved.,Investigation,Public,2026-05-24 00:36:02,No,Negative,3
CMT000181,TASK-10292,EMP185,Performance optimization implemented.,Investigation,Internal,2025-07-24 13:07:46,Yes,Negative,8
CMT000182,TASK-11883,EMP064,Unable to reproduce the reported issue.,Testing,Internal,2026-05-13 03:22:44,Yes,Negative,7
CMT000183,TASK-14498,EMP303,Deployment completed in UAT.,Investigation,Public,2025-05-27 13:46:59,No,Negative,6
CMT000184,TASK-14967,EMP426,Changes deployed to the development environment.,Update,Public,2025-09-01 12:56:50,Yes,Neutral,0
CMT000185,TASK-12579,EMP285,Security validation completed.,Testing,Internal,2025-10-06 02:40:04,No,Positive,8
CMT000186,TASK-13545,EMP200,Changes deployed to the development environment.,Review,Internal,2026-03-15 03:00:15,Yes,Positive,7
CMT000187,TASK-10017,EMP197,Customer confirmed the fix.,Deployment,Public,2026-04-26 10:26:49,Yes,Negative,3
CMT000188,TASK-10772,EMP134,Performance optimization implemented.,Investigation,Internal,2024-10-02 01:10:14,Yes,Positive,6
CMT000189,TASK-19252,EMP346,Production deployment scheduled.,Deployment,Public,2024-10-17 23:12:58,Yes,Neutral,4
CMT000190,TASK-19102,EMP419,Changes deployed to the development environment.,Investigation,Public,2025-08-03 17:46:38,No,Negative,8
CMT000191,TASK-11281,EMP471,Fix developed and submitted for code review.,Investigation,Internal,2026-02-23 05:33:52,No,Neutral,9
CMT000192,TASK-14327,EMP495,Deployment completed in UAT.,Testing,Public,2025-08-03 13:18:42,No,Positive,0
CMT000193,TASK-15943,EMP047,API response time has improved.,Testing,Public,2025-02-13 13:28:56,No,Positive,4
CMT000194,TASK-19579,EMP386,Production deployment scheduled.,Deployment,Public,2026-06-12 09:24:42,No,Negative,10
CMT000195,TASK-11558,EMP236,Deployment completed in UAT.,Customer Reply,Public,2025-02-12 08:21:45,No,Positive,0
CMT000196,TASK-19810,EMP417,Monitoring the application after deployment.,Update,Internal,2024-09-11 05:47:04,Yes,Neutral,2
CMT000197,TASK-12499,EMP071,Testing completed successfully.,Customer Reply,Internal,2024-08-16 19:41:52,Yes,Positive,0
CMT000198,TASK-16485,EMP485,Task blocked due to external dependency.,Deployment,Public,2024-07-31 23:37:33,No,Neutral,0
CMT000199,TASK-13157,EMP203,Additional logs have been attached.,Testing,Internal,2025-12-22 18:50:06,No,Neutral,10
CMT000200,TASK-11868,EMP354,Testing completed successfully.,Update,Public,2024-09-26 01:08:36,No,Neutral,9
CMT000201,TASK-16490,EMP271,Task blocked due to external dependency.,Investigation,Internal,2025-12-14 21:32:04,Yes,Neutral,5
CMT000202,TASK-11426,EMP058,Deployment completed in UAT.,Customer Reply,Internal,2026-04-03 14:51:33,Yes,Negative,9
CMT000203,TASK-10527,EMP037,Waiting for QA validation.,Testing,Public,2026-07-09 23:33:21,Yes,Negative,2
CMT000204,TASK-19542,EMP193,Dependency updated successfully.,Customer Reply,Internal,2026-02-20 18:40:35,No,Neutral,5
CMT000205,TASK-15414,EMP230,Root cause identified and under analysis.,Customer Reply,Public,2025-05-15 18:02:55,Yes,Negative,10
CMT000206,TASK-12009,EMP037,Root cause identified and under analysis.,Review,Public,2025-10-07 05:29:22,Yes,Positive,10
CMT000207,TASK-15485,EMP204,Database migration completed.,Testing,Internal,2026-03-10 09:09:43,No,Neutral,5
CMT000208,TASK-18435,EMP397,Performance optimization implemented.,Deployment,Public,2025-12-14 19:29:01,No,Negative,0
CMT000209,TASK-14672,EMP123,Task blocked due to external dependency.,Review,Public,2025-02-06 22:15:41,Yes,Neutral,6
CMT000210,TASK-10334,EMP301,Production deployment scheduled.,Testing,Internal,2026-01-17 09:42:07,Yes,Positive,5
CMT000211,TASK-17829,EMP012,API response time has improved.,Investigation,Public,2024-09-27 16:45:37,No,Neutral,8
CMT000212,TASK-12241,EMP421,Performance optimization implemented.,Customer Reply,Internal,2025-02-20 02:20:16,No,Negative,1
CMT000213,TASK-19644,EMP226,Performance optimization implemented.,Testing,Internal,2026-07-07 10:25:44,No,Negative,2
CMT000214,TASK-14371,EMP308,Security validation completed.,Testing,Public,2025-06-18 23:54:40,No,Neutral,1
CMT000215,TASK-14650,EMP027,Fix developed and submitted for code review.,Deployment,Internal,2025-01-21 08:49:27,No,Negative,10
CMT000216,TASK-16111,EMP232,Dependency updated successfully.,Update,Internal,2026-02-03 01:46:21,Yes,Negative,1
CMT000217,TASK-17510,EMP129,Issue reproduced successfully.,Review,Internal,2025-06-03 14:59:57,Yes,Negative,5
CMT000218,TASK-14802,EMP333,Dependency updated successfully.,Update,Public,2024-07-12 10:56:24,No,Negative,6
CMT000219,TASK-16640,EMP366,Waiting for QA validation.,Investigation,Internal,2024-07-31 03:37:14,Yes,Positive,8
CMT000220,TASK-11324,EMP371,Customer confirmed the fix.,Customer Reply,Internal,2025-01-14 23:38:48,Yes,Neutral,9
CMT000221,TASK-15928,EMP016,Testing completed successfully.,Deployment,Internal,2025-03-09 06:11:46,Yes,Neutral,4
CMT000222,TASK-19822,EMP082,Changes deployed to the development environment.,Testing,Internal,2026-05-25 10:04:51,Yes,Neutral,6
CMT000223,TASK-13623,EMP016,Task blocked due to external dependency.,Review,Public,2025-01-06 10:08:17,No,Neutral,0
CMT000224,TASK-16750,EMP249,Waiting for QA validation.,Investigation,Public,2026-03-22 17:55:17,Yes,Negative,2
CMT000225,TASK-12596,EMP483,API response time has improved.,Review,Public,2026-03-25 06:13:23,Yes,Positive,3
CMT000226,TASK-14517,EMP168,Unable to reproduce the reported issue.,Review,Internal,2025-05-09 18:12:59,Yes,Positive,8
CMT000227,TASK-18674,EMP381,Changes deployed to the development environment.,Review,Internal,2026-07-05 07:39:05,Yes,Negative,2
CMT000228,TASK-10389,EMP154,Code review completed successfully.,Update,Internal,2026-01-17 06:47:44,Yes,Negative,0
CMT000229,TASK-11858,EMP087,Dependency updated successfully.,Review,Public,2025-06-28 08:39:16,No,Negative,10
CMT000230,TASK-14554,EMP022,Security validation completed.,Review,Internal,2025-01-16 18:14:20,No,Neutral,10
CMT000231,TASK-15940,EMP461,Task blocked due to external dependency.,Customer Reply,Public,2025-06-11 13:53:06,No,Positive,0
CMT000232,TASK-10985,EMP413,Dependency updated successfully.,Review,Public,2026-04-29 16:50:36,No,Neutral,4
