Employee_ID,Department,Skill,Skill_Level,Experience_Years,Certification
EMP013,Security,Pen Testing,Beginner,2,Yes
EMP013,Security,Azure Security,Advanced,7,No
EMP014,Cloud,S3,Beginner,8,Yes
EMP014,Cloud,Terraform,Intermediate,12,Yes
EMP014,Cloud,Networking,Expert,10,No
EMP014,Cloud,Azure,Advanced,1,No
EMP014,Cloud,Azure Storage,Advanced,3,Yes
EMP014,Cloud,AWS,Intermediate,6,No
EMP015,Security,SOC,Intermediate,11,No
EMP015,Security,Pen Testing,Intermediate,4,No
EMP015,Security,Encryption,Intermediate,10,No
EMP015,Security,SIEM,Intermediate,3,Yes
EMP016,Security,OWASP,Beginner,8,No
EMP016,Security,SOC,Advanced,4,No
EMP016,Security,Encryption,Expert,11,No
EMP016,Security,SIEM,Advanced,12,No
EMP016,Security,IAM,Advanced,2,Yes
EMP017,Data Engineering,Snowflake,Advanced,11,Yes
EMP017,Data Engineering,Airflow,Intermediate,7,No
EMP017,Data Engineering,Azure Data Factory,Intermediate,1,No
EMP018,DevOps,Docker,Beginner,11,No
EMP018,DevOps,Git,Beginner,11,Yes
EMP018,DevOps,Ansible,Intermediate,8,No
EMP018,DevOps,Terraform,Intermediate,12,Yes
EMP019,Security,SIEM,Advanced,9,Yes
EMP019,Security,IAM,Expert,12,Yes
EMP019,Security,Encryption,Beginner,7,No
EMP020,QA,Manual Testing,Advanced,8,No
EMP020,QA,Cypress,Intermediate,2,Yes
EMP020,QA,Postman,Intermediate,4,No
EMP020,QA,Selenium,Beginner,5,No
EMP020,QA,JUnit,Advanced,12,Yes
EMP020,QA,Playwright,Advanced,9,Yes
EMP021,Backend,REST API,Intermediate,2,No
EMP021,Backend,Flask,Beginner,3,No
EMP021,Backend,Django,Intermediate,8,Yes
EMP021,Backend,Spring Boot,Expert,8,Yes
EMP021,Backend,Microservices,Intermediate,8,No
EMP021,Backend,Python,Intermediate,9,No
EMP022,Data Engineering,Databricks,Expert,4,No
EMP022,Data Engineering,Azure Data Factory,Beginner,9,Yes
EMP022,Data Engineering,SQL,Expert,1,Yes
EMP022,Data Engineering,Snowflake,Expert,9,Yes
EMP022,Data Engineering,Kafka,Expert,2,Yes
EMP022,Data Engineering,Airflow,Beginner,9,No
EMP023,Cloud,Networking,Expert,8,No
EMP023,Cloud,AWS,Beginner,4,No
EMP023,Cloud,Terraform,Beginner,5,Yes
EMP023,Cloud,Azure Storage,Beginner,1,Yes
EMP023,Cloud,EC2,Intermediate,4,Yes
EMP023,Cloud,S3,Advanced,6,No
EMP024,DevOps,Kubernetes,Advanced,12,Yes
EMP024,DevOps,Terraform,Expert,1,No
EMP024,DevOps,Git,Expert,9,Yes
EMP024,DevOps,Linux,Intermediate,11,Yes
EMP024,DevOps,Docker,Intermediate,9,Yes
EMP024,DevOps,Jenkins,Intermediate,12,No
EMP025,QA,Postman,Intermediate,4,Yes
EMP025,QA,Cypress,Beginner,5,No
EMP025,QA,API Testing,Beginner,7,No
EMP025,QA,Manual Testing,Intermediate,4,No
EMP025,QA,Selenium,Beginner,2,Yes
EMP026,Support,Active Directory,Intermediate,2,No
EMP026,Support,ITIL,Beginner,1,Yes
EMP026,Support,Networking,Expert,3,Yes
EMP026,Support,Troubleshooting,Intermediate,2,Yes
EMP026,Support,Windows,Intermediate,3,No
EMP027,Frontend,Vue.js,Beginner,2,No
EMP027,Frontend,CSS,Expert,8,No
EMP027,Frontend,JavaScript,Advanced,7,Yes
EMP028,Support,ITIL,Intermediate,7,No
EMP028,Support,Active Directory,Advanced,12,No
EMP028,Support,Office365,Expert,4,Yes
EMP028,Support,Networking,Beginner,9,Yes
EMP028,Support,ServiceNow,Advanced,2,No
EMP029,Support,Active Directory,Beginner,12,Yes
EMP029,Support,Office365,Expert,3,No
EMP029,Support,Windows,Advanced,7,Yes
EMP029,Support,Networking,Expert,4,Yes
EMP030,Frontend,HTML,Beginner,4,No
EMP030,Frontend,JavaScript,Advanced,6,Yes
EMP030,Frontend,React,Expert,10,Yes
EMP030,Frontend,CSS,Beginner,7,No
EMP030,Frontend,Vue.js,Intermediate,12,Yes
EMP031,Cloud,AWS,Intermediate,5,No
EMP031,Cloud,Networking,Expert,9,Yes
EMP031,Cloud,Azure,Intermediate,11,No
EMP032,Backend,Flask,Advanced,9,No
EMP032,Backend,Spring Boot,Beginner,11,No
EMP032,Backend,FastAPI,Beginner,9,Yes
EMP033,Cloud,EC2,Beginner,7,No
EMP033,Cloud,Terraform,Expert,5,No
EMP033,Cloud,AWS,Advanced,6,No
EMP033,Cloud,S3,Expert,11,No
EMP034,Database,MySQL,Intermediate,7,No
EMP034,Database,SQL Server,Beginner,6,No
EMP034,Database,Cassandra,Beginner,10,No
EMP034,Database,PostgreSQL,Beginner,4,No
EMP034,Database,Redis,Expert,5,Yes
EMP035,Backend,Microservices,Beginner,1,No
EMP035,Backend,Java,Expert,2,Yes
EMP035,Backend,FastAPI,Beginner,6,Yes
EMP036,Frontend,Bootstrap,Advanced,11,No
EMP036,Frontend,Angular,Advanced,12,Yes
EMP036,Frontend,CSS,Advanced,12,Yes
EMP036,Frontend,JavaScript,Intermediate,8,Yes
EMP036,Frontend,HTML,Advanced,9,No
EMP037,Data Engineering,Databricks,Intermediate,9,Yes
EMP037,Data Engineering,Delta Lake,Beginner,11,Yes
EMP037,Data Engineering,Azure Data Factory,Beginner,5,No
EMP037,Data Engineering,SQL,Expert,1,Yes
EMP037,Data Engineering,Snowflake,Beginner,4,No
EMP038,Frontend,Vue.js,Advanced,8,No
EMP038,Frontend,HTML,Advanced,4,No
EMP038,Frontend,Angular,Advanced,8,Yes
EMP039,Frontend,Bootstrap,Intermediate,8,No
EMP039,Frontend,TypeScript,Advanced,7,Yes
EMP039,Frontend,HTML,Advanced,3,No
EMP040,Data Engineering,Kafka,Beginner,8,No
EMP040,Data Engineering,Delta Lake,Beginner,9,Yes
EMP040,Data Engineering,Azure Data Factory,Expert,10,No
EMP040,Data Engineering,Snowflake,Expert,5,Yes
EMP041,Frontend,JavaScript,Expert,12,No
EMP041,Frontend,CSS,Advanced,3,Yes
EMP041,Frontend,HTML,Advanced,11,No
EMP041,Frontend,React,Advanced,2,No
EMP041,Frontend,Vue.js,Expert,10,No
EMP042,Security,Encryption,Beginner,6,No
EMP042,Security,SIEM,Beginner,6,No
EMP042,Security,IAM,Expert,4,No
EMP042,Security,Pen Testing,Expert,9,Yes
EMP042,Security,SOC,Intermediate,3,Yes
EMP043,Security,OWASP,Advanced,1,No
EMP043,Security,IAM,Beginner,10,No
EMP043,Security,Azure Security,Beginner,6,Yes
EMP043,Security,Encryption,Advanced,12,Yes
EMP043,Security,Firewall,Advanced,2,Yes
EMP044,QA,API Testing,Intermediate,8,No
EMP044,QA,Cypress,Expert,7,No
EMP044,QA,Postman,Advanced,6,Yes
EMP045,Security,IAM,Advanced,1,No
EMP045,Security,SOC,Beginner,8,Yes
EMP045,Security,Azure Security,Advanced,12,Yes
EMP045,Security,OWASP,Beginner,7,No
EMP045,Security,Pen Testing,Intermediate,4,Yes
EMP045,Security,SIEM,Expert,11,Yes
EMP046,AI/ML,NumPy,Advanced,1,No
EMP046,AI/ML,Scikit-learn,Advanced,12,Yes
EMP046,AI/ML,NLP,Advanced,11,Yes
EMP046,AI/ML,PyTorch,Intermediate,1,No
EMP047,Backend,Python,Intermediate,10,Yes
EMP047,Backend,Spring Boot,Expert,10,Yes
EMP047,Backend,Microservices,Expert,3,No
EMP047,Backend,Java,Expert,3,No
EMP047,Backend,Flask,Expert,5,No
EMP047,Backend,Django,Expert,6,Yes
EMP048,Security,Firewall,Expert,9,No
EMP048,Security,OWASP,Beginner,11,Yes
EMP048,Security,IAM,Beginner,8,No
EMP048,Security,SOC,Expert,4,No
EMP049,Support,Office365,Advanced,9,Yes
EMP049,Support,ServiceNow,Advanced,9,Yes
EMP049,Support,Windows,Intermediate,10,Yes
EMP049,Support,Networking,Beginner,4,Yes
EMP050,QA,Postman,Beginner,8,No
EMP050,QA,Playwright,Beginner,12,No
EMP050,QA,TestNG,Beginner,4,No
EMP051,DevOps,Ansible,Expert,9,No
EMP051,DevOps,Kubernetes,Intermediate,5,No
EMP051,DevOps,Docker,Advanced,7,Yes
EMP052,Database,SQLite,Beginner,11,Yes
EMP052,Database,Redis,Beginner,11,No
EMP052,Database,Cassandra,Expert,12,Yes
EMP052,Database,SQL Server,Expert,1,No
EMP052,Database,Oracle,Expert,4,No
EMP053,Support,Networking,Intermediate,10,Yes
EMP053,Support,Office365,Advanced,11,No
EMP053,Support,ITIL,Advanced,6,No
EMP054,Database,MySQL,Expert,12,Yes
EMP054,Database,PostgreSQL,Advanced,5,No
EMP054,Database,Cassandra,Expert,12,No
EMP055,Security,IAM,Intermediate,3,Yes
EMP055,Security,OWASP,Expert,1,No
EMP055,Security,Encryption,Beginner,2,Yes
EMP055,Security,Azure Security,Beginner,3,Yes
EMP055,Security,Firewall,Expert,7,Yes
EMP055,Security,Pen Testing,Advanced,7,Yes
EMP056,DevOps,Azure DevOps,Beginner,12,No
EMP056,DevOps,Terraform,Advanced,4,Yes
EMP056,DevOps,Jenkins,Advanced,6,Yes
EMP056,DevOps,Ansible,Advanced,5,No
EMP057,Frontend,JavaScript,Intermediate,5,No
EMP057,Frontend,HTML,Intermediate,6,Yes
EMP057,Frontend,Vue.js,Intermediate,9,Yes
EMP057,Frontend,CSS,Beginner,11,Yes
EMP057,Frontend,React,Beginner,3,Yes
EMP057,Frontend,TypeScript,Expert,10,No
EMP058,AI/ML,TensorFlow,Beginner,8,Yes
EMP058,AI/ML,NumPy,Intermediate,10,Yes
EMP058,AI/ML,PyTorch,Advanced,3,No
EMP058,AI/ML,Pandas,Intermediate,2,Yes
EMP058,AI/ML,Scikit-learn,Advanced,11,No
EMP059,DevOps,Jenkins,Expert,1,No
EMP059,DevOps,Kubernetes,Intermediate,11,Yes
EMP059,DevOps,Linux,Advanced,11,No
EMP059,DevOps,Git,Beginner,3,Yes
EMP059,DevOps,Docker,Expert,8,Yes
EMP060,QA,Cypress,Intermediate,5,Yes
EMP060,QA,TestNG,Advanced,1,Yes
EMP060,QA,JUnit,Intermediate,7,No
EMP060,QA,Manual Testing,Beginner,8,No
EMP060,QA,Playwright,Expert,10,No
EMP060,QA,Postman,Advanced,8,No
EMP061,Cloud,AWS,Expert,7,Yes
EMP061,Cloud,Networking,Advanced,1,No
EMP061,Cloud,Azure,Expert,12,No
EMP061,Cloud,EC2,Advanced,5,Yes
EMP061,Cloud,GCP,Intermediate,2,No
EMP061,Cloud,Terraform,Intermediate,9,No
EMP062,Backend,Java,Expert,4,Yes
EMP062,Backend,Flask,Advanced,9,No
EMP062,Backend,Microservices,Intermediate,4,No
EMP062,Backend,FastAPI,Beginner,2,Yes
EMP062,Backend,Spring Boot,Intermediate,2,No
EMP062,Backend,Django,Beginner,5,Yes
EMP063,Data Engineering,Delta Lake,Expert,8,No
EMP063,Data Engineering,SQL,Intermediate,6,Yes
EMP063,Data Engineering,PySpark,Beginner,5,Yes
EMP064,Security,Azure Security,Intermediate,4,No
EMP064,Security,SIEM,Beginner,4,No
EMP064,Security,Pen Testing,Advanced,8,Yes
EMP064,Security,IAM,Intermediate,11,Yes
EMP064,Security,SOC,Intermediate,4,Yes
EMP065,Frontend,CSS,Expert,7,Yes
EMP065,Frontend,Vue.js,Intermediate,4,No
EMP065,Frontend,JavaScript,Beginner,12,Yes
EMP065,Frontend,Angular,Advanced,3,Yes
EMP065,Frontend,TypeScript,Advanced,5,No
EMP066,Database,MongoDB,Intermediate,5,Yes
EMP066,Database,Oracle,Beginner,8,Yes
EMP066,Database,PostgreSQL,Expert,9,Yes
EMP067,Database,SQL Server,Advanced,9,No
EMP067,Database,MySQL,Expert,10,Yes
EMP067,Database,Cassandra,Intermediate,5,Yes
EMP068,DevOps,Linux,Intermediate,3,Yes
EMP068,DevOps,Git,Expert,10,No
EMP068,DevOps,Ansible,Beginner,8,Yes
EMP068,DevOps,Docker,Intermediate,2,No
EMP069,AI/ML,Python,Intermediate,2,No
EMP069,AI/ML,NLP,Intermediate,11,No
EMP069,AI/ML,PyTorch,Advanced,12,Yes
EMP069,AI/ML,NumPy,Advanced,8,Yes
EMP069,AI/ML,TensorFlow,Expert,5,Yes
EMP069,AI/ML,Pandas,Intermediate,10,Yes
EMP070,Support,Windows,Expert,7,No
EMP070,Support,Networking,Advanced,1,Yes
EMP070,Support,ServiceNow,Beginner,3,Yes
EMP070,Support,Troubleshooting,Intermediate,1,No
EMP070,Support,ITIL,Expert,1,No
EMP070,Support,Office365,Advanced,10,No
EMP071,Frontend,TypeScript,Expert,12,No
EMP071,Frontend,Vue.js,Beginner,6,No
EMP071,Frontend,Angular,Expert,6,Yes
EMP071,Frontend,CSS,Beginner,3,No
EMP072,Support,Windows,Beginner,1,Yes
EMP072,Support,Active Directory,Expert,9,Yes
EMP072,Support,Linux,Beginner,7,No
EMP072,Support,Troubleshooting,Expert,7,Yes
EMP073,Backend,Flask,Intermediate,7,No
EMP073,Backend,Spring Boot,Beginner,4,No
EMP073,Backend,Python,Advanced,6,Yes
EMP073,Backend,Microservices,Beginner,3,No
EMP074,Support,Active Directory,Intermediate,8,No
EMP074,Support,Troubleshooting,Intermediate,7,No
EMP074,Support,Networking,Beginner,4,No
EMP075,AI/ML,PyTorch,Expert,4,No
EMP075,AI/ML,NumPy,Intermediate,10,No
EMP075,AI/ML,NLP,Advanced,8,No
EMP075,AI/ML,TensorFlow,Expert,11,Yes
EMP076,Security,Firewall,Advanced,6,No
EMP076,Security,Pen Testing,Beginner,9,Yes
EMP076,Security,OWASP,Advanced,9,No
EMP076,Security,SOC,Intermediate,5,Yes
EMP077,AI/ML,PyTorch,Intermediate,4,Yes
EMP077,AI/ML,Pandas,Beginner,6,No
EMP077,AI/ML,XGBoost,Expert,2,No
EMP078,AI/ML,Python,Expert,1,Yes
EMP078,AI/ML,PyTorch,Intermediate,9,Yes
EMP078,AI/ML,Scikit-learn,Beginner,4,No
EMP078,AI/ML,NLP,Expert,7,No
EMP078,AI/ML,TensorFlow,Intermediate,9,No
EMP079,AI/ML,NumPy,Intermediate,7,No
EMP079,AI/ML,TensorFlow,Intermediate,2,No
EMP079,AI/ML,XGBoost,Advanced,6,Yes
EMP079,AI/ML,PyTorch,Intermediate,1,Yes
EMP079,AI/ML,Scikit-learn,Expert,10,Yes
EMP079,AI/ML,Pandas,Advanced,11,Yes
EMP080,DevOps,Kubernetes,Beginner,7,Yes
EMP080,DevOps,Azure DevOps,Expert,8,Yes
EMP080,DevOps,Jenkins,Expert,7,No
EMP080,DevOps,Ansible,Advanced,8,No
EMP080,DevOps,Git,Intermediate,3,No
EMP081,DevOps,Jenkins,Advanced,7,Yes
EMP081,DevOps,Ansible,Expert,10,No
EMP081,DevOps,Git,Advanced,12,Yes
EMP081,DevOps,Kubernetes,Expert,2,No
EMP081,DevOps,Docker,Beginner,7,No
EMP081,DevOps,Azure DevOps,Beginner,7,No
EMP082,Support,Networking,Beginner,1,No
EMP082,Support,Active Directory,Advanced,6,No
EMP082,Support,Windows,Advanced,11,Yes
EMP082,Support,Office365,Expert,7,No
EMP082,Support,ITIL,Advanced,1,Yes
EMP083,Frontend,TypeScript,Beginner,5,Yes
EMP083,Frontend,HTML,Expert,8,No
EMP083,Frontend,JavaScript,Expert,1,Yes
EMP084,Database,MySQL,Intermediate,10,Yes
EMP084,Database,MongoDB,Advanced,4,No
EMP084,Database,Oracle,Intermediate,4,Yes
EMP084,Database,Cassandra,Expert,1,Yes
EMP084,Database,SQL Server,Expert,11,Yes
EMP085,Support,Troubleshooting,Intermediate,12,No
EMP085,Support,Windows,Intermediate,4,Yes
EMP085,Support,ITIL,Intermediate,6,No
EMP085,Support,Active Directory,Advanced,6,No
EMP085,Support,Office365,Advanced,6,No
EMP086,DevOps,Git,Intermediate,2,Yes
EMP086,DevOps,Jenkins,Beginner,12,No
EMP086,DevOps,Ansible,Beginner,8,No
EMP086,DevOps,Kubernetes,Beginner,3,No
EMP087,Security,SOC,Expert,5,No
EMP087,Security,SIEM,Advanced,12,No
EMP087,Security,Pen Testing,Intermediate,6,Yes
EMP088,Support,Office365,Advanced,3,Yes
EMP088,Support,Active Directory,Intermediate,7,No
EMP088,Support,Networking,Intermediate,11,Yes
EMP088,Support,ServiceNow,Beginner,8,Yes
EMP089,Data Engineering,Kafka,Intermediate,1,Yes
EMP089,Data Engineering,Azure Data Factory,Beginner,1,Yes
EMP089,Data Engineering,Delta Lake,Advanced,6,Yes
EMP089,Data Engineering,Databricks,Expert,6,Yes
EMP089,Data Engineering,Snowflake,Expert,3,No
EMP090,Frontend,Bootstrap,Expert,12,No
EMP090,Frontend,TypeScript,Intermediate,10,No
EMP090,Frontend,CSS,Intermediate,9,No
EMP090,Frontend,Vue.js,Intermediate,8,Yes
EMP090,Frontend,Angular,Beginner,9,No
EMP091,Security,IAM,Intermediate,5,No
EMP091,Security,Encryption,Advanced,6,Yes
EMP091,Security,SIEM,Beginner,8,Yes
EMP091,Security,OWASP,Advanced,9,No
EMP091,Security,SOC,Beginner,3,Yes
EMP091,Security,Pen Testing,Beginner,5,Yes
EMP092,Backend,REST API,Expert,8,Yes
EMP092,Backend,Django,Expert,6,No
EMP092,Backend,Java,Beginner,4,No
EMP092,Backend,Microservices,Advanced,4,No
EMP093,DevOps,Docker,Beginner,5,No
EMP093,DevOps,Kubernetes,Beginner,9,No
EMP093,DevOps,Ansible,Beginner,9,No
EMP093,DevOps,Azure DevOps,Beginner,4,Yes
EMP093,DevOps,Git,Advanced,1,No
EMP093,DevOps,Jenkins,Intermediate,12,No
EMP094,Cloud,AWS,Beginner,1,Yes
EMP094,Cloud,Terraform,Intermediate,6,No
EMP094,Cloud,EC2,Advanced,9,No
EMP094,Cloud,Azure Storage,Advanced,11,No
EMP094,Cloud,GCP,Advanced,5,No
EMP095,Frontend,Angular,Intermediate,1,Yes
EMP095,Frontend,Vue.js,Advanced,11,Yes
EMP095,Frontend,TypeScript,Intermediate,6,Yes
EMP095,Frontend,Bootstrap,Intermediate,3,No
EMP095,Frontend,HTML,Advanced,3,No
EMP096,Backend,FastAPI,Expert,2,No
EMP096,Backend,Flask,Intermediate,1,Yes
EMP096,Backend,Python,Advanced,2,Yes
EMP097,Support,Office365,Intermediate,5,Yes
EMP097,Support,Linux,Expert,6,Yes
EMP097,Support,ServiceNow,Advanced,9,Yes
EMP097,Support,Networking,Intermediate,12,No
EMP097,Support,Troubleshooting,Beginner,4,No
EMP098,Security,IAM,Expert,7,No
EMP098,Security,OWASP,Intermediate,7,Yes
EMP098,Security,SOC,Beginner,9,No
EMP098,Security,Pen Testing,Expert,5,Yes
EMP098,Security,Azure Security,Beginner,6,Yes
EMP098,Security,SIEM,Expert,6,No
EMP099,Support,Linux,Beginner,3,No
EMP099,Support,Active Directory,Beginner,4,Yes
EMP099,Support,Networking,Intermediate,2,Yes
EMP099,Support,Troubleshooting,Advanced,5,Yes
EMP099,Support,Office365,Intermediate,1,No
EMP100,Data Engineering,Airflow,Intermediate,8,No
EMP100,Data Engineering,SQL,Intermediate,2,Yes
EMP100,Data Engineering,Snowflake,Expert,8,Yes
EMP100,Data Engineering,PySpark,Beginner,8,Yes
EMP100,Data Engineering,Databricks,Beginner,3,No
EMP101,QA,Postman,Intermediate,5,Yes
EMP101,QA,Selenium,Expert,3,No
EMP101,QA,Playwright,Beginner,11,No
EMP102,Security,IAM,Advanced,12,Yes
EMP102,Security,SOC,Expert,7,Yes
EMP102,Security,Encryption,Advanced,12,No
EMP103,Data Engineering,Databricks,Expert,1,Yes
EMP103,Data Engineering,SQL,Advanced,2,No
EMP103,Data Engineering,Kafka,Advanced,10,No
EMP103,Data Engineering,Delta Lake,Advanced,4,Yes
EMP104,Frontend,CSS,Intermediate,3,Yes
EMP104,Frontend,TypeScript,Advanced,7,No
EMP104,Frontend,Vue.js,Expert,5,No
EMP104,Frontend,JavaScript,Intermediate,9,Yes
EMP105,Frontend,TypeScript,Advanced,2,No
EMP105,Frontend,Angular,Beginner,11,No
EMP105,Frontend,JavaScript,Intermediate,8,No
EMP105,Frontend,HTML,Intermediate,12,No
EMP105,Frontend,React,Intermediate,8,Yes
EMP106,AI/ML,Pandas,Beginner,11,Yes
EMP106,AI/ML,PyTorch,Beginner,7,No
EMP106,AI/ML,NLP,Intermediate,10,No
EMP106,AI/ML,Scikit-learn,Expert,7,No
EMP106,AI/ML,NumPy,Advanced,2,Yes
EMP106,AI/ML,TensorFlow,Beginner,8,Yes
EMP107,Frontend,React,Beginner,11,Yes
EMP107,Frontend,Vue.js,Expert,2,No
EMP107,Frontend,Bootstrap,Intermediate,8,No
EMP107,Frontend,HTML,Expert,11,Yes
EMP107,Frontend,TypeScript,Intermediate,1,No
EMP108,Cloud,AWS,Expert,11,Yes
EMP108,Cloud,Azure,Intermediate,8,No
EMP108,Cloud,EC2,Intermediate,9,No
EMP108,Cloud,Terraform,Beginner,12,Yes
EMP109,Backend,Flask,Beginner,7,No
EMP109,Backend,REST API,Intermediate,1,No
EMP109,Backend,FastAPI,Advanced,1,Yes
EMP109,Backend,Django,Advanced,7,Yes
EMP110,Frontend,Angular,Beginner,9,No
EMP110,Frontend,React,Advanced,6,Yes
EMP110,Frontend,HTML,Intermediate,10,No
EMP110,Frontend,Bootstrap,Expert,1,Yes
EMP110,Frontend,CSS,Expert,3,Yes
EMP111,Security,IAM,Intermediate,10,Yes
EMP111,Security,Firewall,Expert,10,Yes
EMP111,Security,Azure Security,Expert,1,Yes
EMP111,Security,Encryption,Intermediate,2,No
EMP112,QA,Selenium,Beginner,7,No
EMP112,QA,JUnit,Advanced,2,Yes
EMP112,QA,Manual Testing,Advanced,9,Yes
EMP112,QA,API Testing,Expert,6,No
EMP112,QA,Playwright,Intermediate,11,Yes
EMP113,Support,Office365,Advanced,12,No
EMP113,Support,Active Directory,Intermediate,6,Yes
EMP113,Support,Windows,Expert,8,No
EMP114,AI/ML,Pandas,Beginner,3,No
EMP114,AI/ML,Scikit-learn,Advanced,7,Yes
EMP114,AI/ML,Python,Beginner,12,No
EMP114,AI/ML,XGBoost,Beginner,6,No
EMP114,AI/ML,PyTorch,Expert,4,No
EMP114,AI/ML,NumPy,Beginner,6,No
EMP115,Support,ITIL,Advanced,4,No
EMP115,Support,Active Directory,Advanced,5,Yes
EMP115,Support,Troubleshooting,Beginner,6,Yes
EMP116,Security,SOC,Intermediate,5,No
EMP116,Security,OWASP,Expert,11,No
EMP116,Security,Firewall,Expert,2,No
EMP117,Support,ServiceNow,Advanced,6,Yes
EMP117,Support,Linux,Advanced,3,Yes
EMP117,Support,Networking,Advanced,11,No
EMP118,Backend,Python,Beginner,10,Yes
EMP118,Backend,Django,Beginner,12,No
EMP118,Backend,Flask,Expert,6,Yes
EMP118,Backend,Microservices,Intermediate,2,No
EMP118,Backend,Java,Intermediate,7,No
EMP118,Backend,FastAPI,Expert,2,No
EMP119,AI/ML,TensorFlow,Beginner,12,Yes
EMP119,AI/ML,NumPy,Expert,5,Yes
EMP119,AI/ML,PyTorch,Intermediate,2,No
EMP120,AI/ML,TensorFlow,Expert,1,No
EMP120,AI/ML,XGBoost,Expert,4,No
EMP120,AI/ML,PyTorch,Expert,7,No
EMP120,AI/ML,Scikit-learn,Expert,2,Yes
EMP121,Support,Linux,Expert,10,No
EMP121,Support,ITIL,Expert,10,No
EMP121,Support,Windows,Advanced,10,Yes
EMP121,Support,ServiceNow,Expert,12,No
EMP121,Support,Active Directory,Advanced,2,No
EMP122,DevOps,Git,Advanced,2,No
EMP122,DevOps,Ansible,Expert,4,Yes
EMP122,DevOps,Terraform,Expert,10,Yes
EMP122,DevOps,Linux,Intermediate,7,No
EMP122,DevOps,Docker,Expert,8,Yes
EMP123,DevOps,Kubernetes,Intermediate,1,No
EMP123,DevOps,Git,Intermediate,9,No
EMP123,DevOps,Jenkins,Advanced,8,Yes
EMP123,DevOps,Linux,Expert,6,No
EMP124,Frontend,Vue.js,Advanced,2,Yes
EMP124,Frontend,Angular,Intermediate,10,Yes
EMP124,Frontend,TypeScript,Advanced,12,No
EMP124,Frontend,HTML,Advanced,2,No
EMP125,Support,ServiceNow,Advanced,11,No
EMP125,Support,Networking,Advanced,5,Yes
EMP125,Support,Windows,Advanced,8,Yes
EMP125,Support,ITIL,Advanced,1,No
EMP125,Support,Office365,Advanced,9,Yes
EMP126,Cloud,GCP,Intermediate,9,No
EMP126,Cloud,Networking,Advanced,1,No
EMP126,Cloud,Azure,Advanced,11,Yes
EMP126,Cloud,EC2,Expert,8,No
EMP127,AI/ML,NLP,Intermediate,2,Yes
EMP127,AI/ML,XGBoost,Beginner,5,Yes
EMP127,AI/ML,Pandas,Beginner,10,Yes
EMP127,AI/ML,PyTorch,Intermediate,6,No
EMP128,AI/ML,Python,Intermediate,1,No
EMP128,AI/ML,Pandas,Intermediate,11,Yes
EMP128,AI/ML,NumPy,Expert,9,Yes
EMP128,AI/ML,XGBoost,Beginner,9,No
EMP129,Support,Linux,Intermediate,2,No
EMP129,Support,Active Directory,Beginner,9,Yes
EMP129,Support,ITIL,Intermediate,5,No
EMP129,Support,Networking,Advanced,4,No
EMP129,Support,ServiceNow,Intermediate,9,Yes
EMP129,Support,Troubleshooting,Expert,1,No
EMP130,Support,Windows,Beginner,2,No
